task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f7/688113	47140	AQUASCOPE:runQualityAlign:SAMTOOLS_FAIDX (SARS-CoV-2.reference.fasta)	COMPLETED	0	2024-11-02 18:15:44.399	742ms	0ms	85.1%	1.5 MB	4.3 MB	943.5 KB	4.8 KB
2	83/53d645	47123	AQUASCOPE:runQualityAlign:SAMPLESHEET_CHECK (samplesheet_test_illumina.csv)	COMPLETED	0	2024-11-02 18:15:44.377	1.9s	2s	72.0%	22.7 MB	36 MB	33.7 MB	3.1 KB
6	2c/3d1e10	47330	AQUASCOPE:runQualityAlign:FASTP_SHORT (SAMPLE1_SE)	COMPLETED	0	2024-11-02 18:15:44.628	4.8s	4s	100.5%	1.1 GB	1.4 GB	24.1 MB	3.6 MB
7	57/62d403	47303	AQUASCOPE:runQualityAlign:FASTQC_RAW_SHORT (SAMPLE1_SE)	COMPLETED	0	2024-11-02 18:15:44.587	6s	5s	141.9%	255.2 MB	15.7 GB	14.3 MB	2.3 MB
8	2b/498401	50323	AQUASCOPE:runQualityAlign:MINIMAP2_ALIGN_SHORT (SAMPLE1_SE)	COMPLETED	0	2024-11-02 18:15:49.689	1.9s	1s	136.9%	8 MB	236.8 MB	27.1 MB	23.7 MB
3	97/930db9	47119	AQUASCOPE:runFreyja:FREYJA_VARIANT_CALLING:FREYJA_UPDATE (freyja_db)	COMPLETED	0	2024-11-02 18:15:44.351	7.2s	7s	130.6%	95 MB	4.6 GB	79.3 MB	10 MB
5	17/1dcc23	47315	AQUASCOPE:runQualityAlign:FASTP_SHORT (SAMPLE1_PE)	COMPLETED	0	2024-11-02 18:15:44.608	7.9s	7s	100.2%	1.1 GB	1.4 GB	35.7 MB	7.8 MB
4	81/fa2d4c	47382	AQUASCOPE:runQualityAlign:FASTQC_RAW_SHORT (SAMPLE1_PE)	COMPLETED	0	2024-11-02 18:15:44.689	8.1s	7s	209.2%	530.7 MB	15.7 GB	19.2 MB	4.6 MB
11	71/d69040	52212	AQUASCOPE:runQualityAlign:IVAR_TRIMMING_SORTING:IVAR_TRIM (SAMPLE1_SE)	COMPLETED	0	2024-11-02 18:15:51.822	2.4s	2s	75.8%	5.6 MB	13.4 MB	7.3 MB	1.8 MB
14	fb/dba203	53512	AQUASCOPE:runQualityAlign:IVAR_TRIMMING_SORTING:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SAMPLE1_SE)	COMPLETED	0	2024-11-02 18:15:54.372	956ms	1s	136.4%	21.8 MB	1.7 GB	2.7 MB	1.7 MB
12	ed/b0092d	52741	AQUASCOPE:runQualityAlign:MINIMAP2_ALIGN_SHORT (SAMPLE1_PE)	COMPLETED	0	2024-11-02 18:15:52.772	3.6s	3s	144.6%	52.3 MB	1.2 GB	53.3 MB	48.4 MB
