Module	Section	Sample Name	Source
QualiMap	genome_results	Sample2	/scicomp/scratch/xuz1/nextflow/work/1c/7c1e1acdc9a39ca2cc5c82fd48b384/7/Sample2/genome_results.txt
QualiMap	genome_results	Sample1	/scicomp/scratch/xuz1/nextflow/work/1c/7c1e1acdc9a39ca2cc5c82fd48b384/8/Sample1/genome_results.txt
QualiMap	coverage_histogram	Sample2	/scicomp/scratch/xuz1/nextflow/work/1c/7c1e1acdc9a39ca2cc5c82fd48b384/7/Sample2/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	Sample1	/scicomp/scratch/xuz1/nextflow/work/1c/7c1e1acdc9a39ca2cc5c82fd48b384/8/Sample1/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	mapped_gc_distribution	Sample2	/scicomp/scratch/xuz1/nextflow/work/1c/7c1e1acdc9a39ca2cc5c82fd48b384/7/Sample2/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	Sample1	/scicomp/scratch/xuz1/nextflow/work/1c/7c1e1acdc9a39ca2cc5c82fd48b384/8/Sample1/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
Freyja	all_sections	Sample1	/scicomp/scratch/xuz1/nextflow/work/1c/7c1e1acdc9a39ca2cc5c82fd48b384/10/Sample1.tsv
Freyja	all_sections	Sample2	/scicomp/scratch/xuz1/nextflow/work/1c/7c1e1acdc9a39ca2cc5c82fd48b384/9/Sample2.tsv
fastp	all_sections	Sample2	/scicomp/scratch/xuz1/nextflow/work/1c/7c1e1acdc9a39ca2cc5c82fd48b384/6/Sample2.fastp.json
fastp	all_sections	Sample1	/scicomp/scratch/xuz1/nextflow/work/1c/7c1e1acdc9a39ca2cc5c82fd48b384/5/Sample1.fastp.json
