#Duplication rate	Coverage
1.0	1689.0
2.0	690.0
3.0	366.0
4.0	220.0
5.0	152.0
6.0	123.0
7.0	95.0
8.0	80.0
9.0	76.0
10.0	66.0
11.0	68.0
12.0	44.0
13.0	41.0
14.0	37.0
15.0	35.0
16.0	29.0
17.0	30.0
18.0	26.0
19.0	25.0
20.0	17.0
21.0	19.0
22.0	29.0
23.0	18.0
24.0	19.0
25.0	13.0
26.0	5.0
27.0	14.0
28.0	13.0
29.0	10.0
30.0	9.0
31.0	7.0
32.0	4.0
33.0	9.0
34.0	11.0
35.0	5.0
36.0	5.0
37.0	3.0
38.0	9.0
39.0	6.0
40.0	6.0
41.0	9.0
42.0	3.0
43.0	5.0
44.0	6.0
45.0	4.0
46.0	3.0
47.0	1.0
48.0	5.0
49.0	2.0
50.0	174.0
